pitcher,name,hand,cluster
608331,Max Fried,L,2
663556,Shane McClanahan,L,2
672282,Reid Detmers,L,2
607074,Carlos Rodón,L,3
666157,Nick Lodolo,L,4
676879,Aaron Ashby,L,2
656756,Jordan Montgomery,L,2
640455,Sean Manaea,L,4
668948,Kirk McCarty,L,1
670288,Jake Fishman,L,5
596071,Dillon Peters,L,2
656271,Brock Burke,L,3
656354,Austin Davis,L,4
676714,Brandon Hughes,L,4
643230,Steven Brault,L,4
669276,Dylan Lee,L,2
672335,Cionel Pérez,L,3
641835,Tim Mayza,L,1
571948,Hoby Milner,L,5
607237,Amir Garrett,L,4
681911,Alex Vesia,L,3
572125,Sam Selman,L,2
663558,Jovani Moran,L,2
650671,José Quijada,L,1
476595,Lucas Luetge,L,2
593974,Wandy Peralta,L,2
608718,Brent Suter,L,5
656222,Jalen Beeks,L,2
657514,Brennan Bernardino,L,5
669912,Kirby Snead,L,4
548384,Brooks Raley,L,5
664285,Framber Valdez,L,2
607536,Kyle Freeland,L,2
477132,Clayton Kershaw,L,2
641482,Nestor Cortes,L,1
641778,Eric Lauer,L,1
624133,Ranger Suárez,L,1
592767,Drew Smyly,L,2
592761,Caleb Smith,L,2
656529,Sam Hentges,L,3
621345,A. J. Minter,L,3
670970,Adrián Morejón,L,3
518617,Jake Diekman,L,4
594580,Sam Moll,L,4
542947,Richard Bleier,L,1
640462,A. J. Puk,L,4
650893,Génesis Cabrera,L,3
676050,Packy Naughton,L,4
554431,Tyler Matzek,L,1
665665,Reiver Sanmartin,L,5
657571,Caleb Ferguson,L,3
446321,Ross Detwiler,L,1
544365,Manny Banuelos,L,4
621363,Colin Poche,L,1
663947,Tyler Holton,L,2
621366,Ryan Borucki,L,4
621237,José Alvarado,L,3
656458,Lucas Gilbreath,L,1
527048,Martín Pérez,L,1
605483,Blake Snell,L,3
518516,Madison Bumgarner,L,5
663776,Patrick Sandoval,L,2
592662,Robbie Ray,L,4
500779,José Quintana,L,4
501985,Mike Minor,L,2
628711,Julio Urías,L,2
605488,Jeffrey Springs,L,4
663460,Kris Bubic,L,2
663559,Bailey Falter,L,1
543548,Tommy Milone,L,5
607455,Anthony Banda,L,4
623352,Josh Hader,L,3
595345,Steven Okert,L,4
642397,Gregory Soto,L,3
547973,Aroldis Chapman,L,3
543272,Brad Hand,L,4
657612,Tim Hill,L,5
571901,Aaron Loup,L,5
669674,Sam Long,L,2
542881,Tyler Anderson,L,1
622072,Alex Wood,L,4
657006,Justin Steele,L,1
642232,Ryan Yarbrough,L,5
579328,Yusei Kikuchi,L,3
641302,Tyler Alexander,L,5
596295,Austin Gomber,L,2
656945,Tanner Scott,L,4
641447,Daniel Castano,L,5
519043,Matt Moore,L,2
669373,Tarik Skubal,L,4
608344,Cole Irvin,L,1
594835,Marco Gonzales,L,5
666129,Braxton Garrett,L,4
571760,Andrew Heaney,L,4
571578,Patrick Corbin,L,3
663989,Nick Vespi,L,5
456034,David Price,L,1
573124,Taylor Rogers,L,2
605177,Andrew Chafin,L,1
656685,Brett Martin,L,2
459429,Jake McGee,L,1
660761,José Suarez,L,4
656457,Tyler Gilbert,L,1
672582,Angel Zerpa,L,4
663629,Ethan Small,L,2
664076,Garrett Cleavinger,L,3
519293,Will Smith,L,2
606424,Jarlín García,L,2
669459,Kyle Nelson,L,2
519008,T. J. McFarland,L,5
669432,Trevor Rogers,L,4
669022,MacKenzie Gore,L,3
656849,David Peterson,L,4
669211,Keegan Akin,L,4
668868,Zack Thompson,L,3
573009,Joe Mantiply,L,5
570257,Joely Rodríguez,L,4
663455,Konnor Pilkington,L,1
571927,Steven Matz,L,2
621368,Taylor Hearn,L,3
650382,Darwinzon Hernández,L,4
621383,Tanner Banks,L,4
668941,JoJo Romero,L,2
656657,Zach Logue,L,5
676664,JP Sears,L,2
519242,Chris Sale,L,4
573204,Caleb Thielbar,L,2
657649,Jared Koenig,L,1
663738,Daniel Lynch,L,2
668684,Tanner Tully,L,5
596057,Daniel Norris,L,4
656970,Devin Smeltzer,L,5
572971,Dallas Keuchel,L,1
669461,Matthew Liberatore,L,2
663465,Kolby Allard,L,1
676596,Josh Fleming,L,1
650911,Cristopher Sánchez,L,3
621381,Matt Strahm,L,4
657770,Eric Stout,L,4
669145,Bruce Zimmermann,L,2
667463,John King,L,4
622065,Alex Young,L,2
657424,Matt Gage,L,1
543238,Anthony Gose,L,3
678061,Ray Kerr,L,4
592741,Chasen Shreve,L,2
448179,Rich Hill,L,2
664944,Cam Vieaux,L,2
621389,Ty Blach,L,1
667465,Aaron Fletcher,L,5
677865,Justin Bruihl,L,5
660906,Francisco Pérez,L,2
656492,Foster Griffin,L,1
642100,Gabe Speier,L,4
670046,Kenny Rosenberg,L,2
606273,Roenis Elías,L,2
656954,Justus Sheffield,L,2
681885,Evan Lee,L,2
677960,Ryan Weathers,L,2
656986,Bennett Sousa,L,2
656794,Sean Newcomb,L,1
501625,Jose Alvarez,L,4
489119,Wade Miley,L,5
646242,Jhonathan Diaz,L,4
607755,Andrew Vasquez,L,5
607481,Aaron Bummer,L,1
656786,Parker Mushinski,L,2
642130,Blake Taylor,L,1
642028,Josh Rogers,L,5
547943,Hyun Jin Ryu,L,5
643316,Paul Fry,L,4
664948,Anthony Misiewicz,L,1
686610,Ken Waldichuk,L,4
674681,Michael Plassmeyer,L,5
677053,Andrew Nardi,L,4
669084,DL Hall,L,4
642239,Rob Zastryzny,L,2
593958,Eduardo Rodriguez,L,1
666200,Jesús Luzardo,L,4
674072,Tommy Henry,L,2
571510,Matt Boyd,L,4
666214,Joey Wentz,L,1
656353,Tucker Davidson,L,2
663378,Thomas Szapucki,L,3
666142,Cole Ragans,L,2
518397,Scott Alexander,L,1
502154,Zack Britton,L,1
666205,Kyle Muller,L,2
592222,Alex Claudio,L,5
663893,Brendon Little,L,1
620454,José Castillo,L,4
688010,Nate Fisher,L,4
621348,Sam Clay,L,1
664849,Danny Young,L,5
571616,Matt Dermody,L,2
669456,Shane Bieber,R,2
571945,Miles Mikolas,R,2
518876,Merrill Kelly,R,1
657277,Logan Webb,R,2
543037,Gerrit Cole,R,3
689225,Beau Brieske,R,2
592826,Vince Velasquez,R,2
672851,Joan Adon,R,3
641540,Dane Dunning,R,5
502043,Kyle Gibson,R,1
543135,Nathan Eovaldi,R,4
641771,Chad Kuhl,R,4
672578,Carlos Hernández,R,2
502042,Chris Archer,R,2
656818,Connor Overton,R,2
621244,José Berríos,R,4
693821,Bryce Elder,R,1
592836,Taijuan Walker,R,4
677651,Luis Garcia,R,1
657093,Spenser Watkins,R,1
664141,JT Brubaker,R,4
621074,Michael Rucker,R,2
605538,Matt Wisler,R,2
671790,Ronald Bolaños,R,4
608717,Chris Stratton,R,2
453178,Ian Kennedy,R,1
675911,Spencer Strider,R,3
544727,Jeurys Familia,R,3
600921,Andrés Machado,R,3
642545,Jaime Barria,R,2
608349,Corey Knebel,R,3
606625,Reyes Moronta,R,3
664776,Jake Cousins,R,4
642770,Javy Guerra,R,3
608665,Kendall Graveman,R,3
621051,Steven Wilson,R,3
641729,Joe Jiménez,R,3
656803,James Norwood,R,3
606303,Joel Payamps,R,4
656887,Sean Reid-Foley,R,3
521230,Liam Hendriks,R,3
640444,Wil Crowe,R,4
608371,Lucas Sims,R,2
605347,Jorge López,R,3
598264,Matt Barnes,R,2
669622,Anthony Bender,R,3
493603,Adam Ottavino,R,4
670280,David Bednar,R,3
472610,Luis García,R,3
656420,J. P. Feyereisen,R,2
664294,Dauri Moreta,R,3
542914,Anthony Bass,R,2
657024,Erik Swanson,R,2
661403,Emmanuel Clase,R,3
518489,Ryan Brasier,R,3
640448,Kyle Finnegan,R,3
598287,Noé Ramirez,R,5
612434,Miguel Castro,R,4
661395,Jhoan Duran,R,3
605521,Art Warren,R,4
605280,Clay Holmes,R,3
541640,Erasmo Ramírez,R,1
664123,Scott Effross,R,5
661527,Seth Martinez,R,4
667427,Zach Jackson,R,2
641329,Bryan Baker,R,3
607216,Joey Krehbiel,R,3
669618,Joe Barlow,R,2
605154,John Brebbia,R,4
661440,Mauricio Llovera,R,4
605242,Michael Fulmer,R,4
642121,Cole Sulser,R,2
642585,Félix Bautista,R,3
664054,Cody Stashak,R,2
518886,Craig Kimbrel,R,4
650895,Diego Castillo,R,2
641627,Trevor Gott,R,1
501925,Joe Smith,R,5
666204,Dany Jiménez,R,2
592773,Ryne Stanek,R,3
680704,Nick Sandlin,R,4
623465,Evan Phillips,R,4
543507,Trevor May,R,3
617228,Hirokazu Sawamura,R,3
657044,Ryan Thompson,R,5
425794,Adam Wainwright,R,1
593423,Frankie Montas,R,3
622694,Elieser Hernández,R,4
668881,Hunter Greene,R,3
605400,Aaron Nola,R,4
605288,Adrian Houser,R,3
506433,Yu Darvish,R,5
608337,Lucas Giolito,R,2
605164,Dylan Bundy,R,2
666120,Ian Anderson,R,2
656731,Tylor Megill,R,3
543294,Kyle Hendricks,R,5
622608,Antonio Senzatela,R,3
650644,Aaron Civale,R,1
605507,Zach Thompson,R,1
680694,Kyle Bradish,R,2
664353,José Urquidy,R,2
446372,Corey Kluber,R,5
592717,Aaron Sanchez,R,3
675921,Spencer Howard,R,1
666374,Matt Brash,R,4
623474,Jimmy Herget,R,5
656061,Albert Abreu,R,3
656557,Tanner Houck,R,4
666818,Luis Frías,R,3
676641,Beau Sulser,R,1
656793,Nick Nelson,R,4
656546,Jeff Hoffman,R,4
503449,Wily Peralta,R,2
670036,Matt Festa,R,4
657240,Julian Merryweather,R,3
622098,Drew Smith,R,4
547001,Cody Poteet,R,2
608723,Austin Voth,R,4
621114,Ryan Burr,R,1
676637,Phoenix Sanders,R,2
664208,Phil Maton,R,2
676684,Will Vest,R,4
594311,Jandel Gustave,R,3
669395,Dylan Coleman,R,3
570666,Luis Cessa,R,2
681810,Austin Warren,R,4
663158,Robert Suarez,R,3
676092,Collin Snider,R,4
670090,Wyatt Mills,R,5
643338,Chad Green,R,3
650556,Bryan Abreu,R,4
643410,Mark Leiter,R,2
682171,Penn Murfee,R,5
572070,Garrett Richards,R,4
502179,Paolo Espino,R,2
660853,Enyel De Los Santos,R,4
656638,Alex Lange,R,4
670950,Trevor Richards,R,4
595881,Tyler Beede,R,4
621295,Nick Wittgren,R,1
642758,Domingo Acevedo,R,4
517008,Alex Colomé,R,1
445276,Kenley Jansen,R,1
663423,Trent Thornton,R,2
542888,Shawn Armstrong,R,1
663986,Trevor Stephan,R,4
665645,Kervin Castro,R,5
641582,Matt Foster,R,2
570663,Hansel Robles,R,2
628708,Yunior Marte,R,3
518748,Justin Grimm,R,2
681799,Ethan Roberts,R,1
572193,Ryan Tepera,R,4
660813,Brusdar Graterol,R,3
592390,Heath Hembree,R,2
475479,David Phelps,R,1
593576,Hector Neris,R,3
628452,Raisel Iglesias,R,4
623485,Ashton Goudeau,R,4
489334,Craig Stammen,R,1
641360,Phil Bickford,R,3
468504,Jhoulys Chacín,R,2
664747,Alexis Díaz,R,3
669467,Andre Pallante,R,3
518553,Steve Cishek,R,5
676831,Kodi Whitley,R,2
623167,Chris Flexen,R,1
656629,Michael Kopech,R,3
554430,Zack Wheeler,R,3
434378,Justin Verlander,R,2
641816,Tyler Mahle,R,3
666201,Alek Manoah,R,4
642547,Freddy Peralta,R,4
615698,Cal Quantrill,R,1
641745,Brad Keller,R,3
641712,Dakota Hudson,R,2
657140,Kyle Wright,R,4
607259,Nick Martinez,R,2
592791,Jameson Taillon,R,3
656686,Corbin Martin,R,4
641927,Bailey Ober,R,2
676477,Garrett Whitlock,R,3
657508,Mike Baumann,R,2
643377,Griffin Jax,R,2
605156,Aaron Brooks,R,4
664337,Miguel Yajure,R,2
663574,Tony Santillan,R,4
642203,Taylor Widener,R,4
519326,Hunter Strickland,R,4
528748,Humberto Castellanos,R,5
676760,Ron Marinaccio,R,4
571479,Andrew Bellatti,R,2
614179,José Ruiz,R,3
670167,John Schreiber,R,4
606930,Jacob Barnes,R,1
641755,Tyler Kinley,R,2
622251,Josh Staumont,R,3
622503,Nabil Crismatt,R,4
644364,Víctor Arano,R,4
606160,Rafael Montero,R,3
605130,Scott Barlow,R,4
456713,Matt Bush,R,3
642207,Devin Williams,R,4
543766,Bryan Shaw,R,1
664875,Justin Lawrence,R,4
592094,Jason Adam,R,2
605151,Archie Bradley,R,3
571656,Buck Farmer,R,2
642528,Jonathan Loáisiga,R,3
605447,Jordan Romano,R,3
455119,Chris Martin,R,1
502202,Brad Boxberger,R,2
656302,Dylan Cease,R,2
608379,Michael Wacha,R,3
668678,Zac Gallen,R,4
657746,Joe Ryan,R,4
607200,Erick Fedde,R,1
664299,Cristian Javier,R,3
621112,Paul Blackburn,R,1
663372,Ryan Feltner,R,4
661269,Vladimir Gutiérrez,R,4
548389,Ross Stripling,R,2
425844,Zack Greinke,R,2
656876,Drew Rasmussen,R,3
471911,Carlos Carrasco,R,2
668676,Zach Plesac,R,2
641154,Pablo López,R,4
669330,Tyler Wells,R,2
450203,Charlie Morton,R,4
657248,Glenn Otto,R,2
501381,Michael Pineda,R,1
669060,Bryse Wilson,R,4
660271,Shohei Ohtani,R,4
596001,Jakob Junis,R,2
624522,Keegan Thompson,R,1
670990,Yohan Ramirez,R,3
543521,Collin McHugh,R,5
650633,Mike King,R,4
571710,Mychal Givens,R,4
596112,Robert Stephenson,R,3
663765,Jake Woodford,R,4
659275,Dinelson Lamet,R,2
663432,Tanner Rainey,R,3
552640,Andrew Kittredge,R,3
608328,Chase De Jong,R,2
608716,Drew Steckenrider,R,3
445926,Jesse Chavez,R,1
608032,Carlos Estévez,R,3
661255,Yoan López,R,3
681806,Andrew Wantz,R,1
571800,Drew Hutchison,R,4
661383,Oliver Ortega,R,3
643511,Tyler Rogers,R,5
453268,Daniel Bard,R,3
664042,Travis Lakins,R,3
592858,Rowan Wick,R,3
682016,William Woods,R,3
641501,Tyler Danish,R,5
543339,Daniel Hudson,R,4
594577,Mike Mayers,R,4
453343,Mark Melancon,R,1
622253,Dillon Tate,R,4
664854,Ryan Helsley,R,3
622554,Seranthony Domínguez,R,3
669302,Logan Gilbert,R,3
601713,Nick Pivetta,R,2
680686,Josiah Gray,R,2
645261,Sandy Alcantara,R,3
605135,Chris Bassitt,R,1
543475,Jordan Lyles,R,2
621107,Zach Eflin,R,1
605540,Brandon Woodruff,R,3
592332,Kevin Gausman,R,4
573186,Marcus Stroman,R,1
663978,Chris Paddack,R,4
663474,Triston McKenzie,R,2
605397,Joe Musgrove,R,2
543606,Jake Odorizzi,R,1
605200,Zach Davies,R,1
608566,Germán Márquez,R,4
622663,Luis Severino,R,3
641726,Daulton Jefferies,R,1
656605,Mitch Keller,R,3
664062,Tony Gonsolin,R,2
571863,Matt Koch,R,5
570632,José Ureña,R,3
663903,Brady Singer,R,3
663855,Jordan Hicks,R,3
605195,Kyle Crick,R,2
625643,Reynaldo López,R,3
662253,Andrés Muñoz,R,4
641941,Emilio Pagán,R,3
621082,Jacob Lemoine,R,1
608648,Tyler Duffey,R,4
554340,Yimi García,R,4
605525,J. B. Wendelken,R,3
621242,Edwin Díaz,R,4
664199,Taylor Clarke,R,2
669203,Corbin Burnes,R,3
621111,Walker Buehler,R,3
453286,Max Scherzer,R,4
547179,Michael Lorenzen,R,4
606149,Giovanny Gallegos,R,2
608678,Dominic Leone,R,3
666808,Camilo Doval,R,3
641793,Zack Littell,R,4
669854,Ronel Blanco,R,2
643256,Adam Cimber,R,5
680739,Josh Winder,R,2
658648,Pedro Avila,R,2
665621,Rony García,R,4
592804,Tyler Thornburg,R,2
595939,Chris Ellis,R,2
670955,Edwin Uceta,R,4
623451,Jackson Stephens,R,2
502085,David Robertson,R,4
545343,Louis Head,R,4
642701,Dennis Santana,R,4
607625,Seth Lugo,R,2
570488,Phillips Valdez,R,4
503285,Darren O'Day,R,5
592789,Noah Syndergaard,R,2
592866,Trevor Williams,R,1
669804,Angel De Jesus,R,4
676710,Kutter Crawford,R,1
658431,Adonis Medina,R,4
669952,Mitch White,R,2
670124,Adam Oller,R,1
669212,Eli Morgan,R,2
