name,pitcher,pitches,hand,fastball,avg_velo,max_velo,offspeed_rate,primary_offspeed,avg_rel_ext,release_angle_ground
Max Fried,608331,2816,L,FF,94.41735807860262,99.6,0.5422585227272727,CB,6.296626420454546,77.34060052626863
Shane McClanahan,663556,2463,L,FF,97.34994311717861,101.3,0.6431181485992692,CH,6.835931790499391,81.627663433447
Reid Detmers,672282,2181,L,FF,92.08126951092612,95.6,0.5502063273727649,SL,5.669280146721687,73.24792506400544
Carlos Rodón,607074,2985,L,FF,95.3578860898138,99.9,0.3882747068676717,SL,6.196683417085427,73.1696217653614
Nick Lodolo,666157,1681,L,FF,94.36066790352504,97.3,0.4098750743604997,CB,6.448661511005354,58.356638945385555
Aaron Ashby,676879,1878,L,FT,94.17730829420971,97.9,0.626730564430245,SL,5.5222814498933905,83.89813890707923
Jordan Montgomery,656756,2715,L,FT,93.41098081023455,96.9,0.44419889502762433,CB,6.638195211786372,74.11226114932755
Sean Manaea,640455,2482,L,FT,92.53977498345466,97.7,0.3912167606768735,CH,7.1939967767929085,60.883071858701
Kirk McCarty,668948,574,L,CUT,88.55108225108225,92,0.21254355400696862,CB,6.066202090592334,76.636496138526
Jake Fishman,670288,171,L,FT,87.17281553398058,90.1,0.39766081871345027,SL,6.298245614035087,53.31326053436075
Dillon Peters,596071,634,L,FT,92.3719298245614,94.6,0.4968454258675079,CH,6.189589905362776,73.63621580283117
Brock Burke,656271,1330,L,FF,96.00345649582837,100.3,0.33157894736842103,SL,6.926766917293233,74.84699924271962
Austin Davis,656354,1118,L,FF,93.99917012448132,98,0.5438282647584973,SL,6.256529516994633,66.26483417142403
Brandon Hughes,676714,952,L,FF,90.72418300653595,95.5,0.4684873949579832,SL,6.240064446831364,66.05848028580306
Steven Brault,643230,157,L,FT,92.1686274509804,94.7,0.35668789808917195,SL,7.105732484076433,59.87619688368166
Dylan Lee,669276,754,L,FF,92.29504373177842,97,0.5450928381962865,SL,6.464190981432361,75.28031032124349
Cionel Pérez,672335,901,L,FF,96.30967741935484,98.9,0.3940066592674806,SL,5.8593784683684795,78.4623082232094
Tim Mayza,641835,731,L,FT,93.39004975124378,96.6,0.17373461012311903,SL,6.287824897400821,74.5624673117719
Hoby Milner,571948,1088,L,FT,89.04356223175965,91.6,0.5303308823529411,CB,6.540938362465502,46.280063757900024
Amir Garrett,607237,804,L,FF,94.24648318042813,98.4,0.5646766169154229,SL,6.2818407960199005,65.06291149492056
Alex Vesia,681911,951,L,FF,94.387,97.6,0.36908517350157727,SL,6.44931650893796,81.00438193983594
Sam Selman,572125,295,L,FF,89.9281690140845,92.6,0.4711864406779661,SL,6.45593220338983,77.02459885172843
Jovani Moran,663558,672,L,FF,94.03527696793003,97.5,0.4895833333333333,CH,6.546726190476191,77.61066412048102
José Quijada,650671,691,L,FF,94.95093696763203,98.4,0.15050651230101303,CH,6.586541244573082,67.0323109875588
