"hitter_name","batter"
"Narváez, Omar",553882
"Peraza, José",606299
"Cervelli, Francisco",465041
"Bellinger, Cody",641355
"Engel, Adam",641553
"Hamilton, Billy",571740
"Moncada, Yoán",660162
"Hernández, Enrique",571771
"Polanco, Gregory",570256
"Trout, Mike",545361
"Franco, Maikel",596748
"Williams, Nick",608384
"Muncy, Max",571970
"García, Avisaíl",541645
"Ohtani, Shohei",660271
"Cabrera, Asdrúbal",452678
"Abreu, José",547989
"Barnhart, Tucker",571466
"Luplow, Jordan",656669
"Robertson, Daniel",621002
"Calhoun, Kole",594777
"Suárez, Eugenio",553993
"Anderson, Tim",641313
"Marte, Jefry",527043
"Kiermaier, Kevin",595281
"Taylor, Chris",621035
"Mercer, Jordy",474568
"Rojas, Miguel",500743
"Hernández, César",514917
"Slater, Austin",596103
"Buehler, Walker",621111
"Votto, Joey",458015
"Kingery, Scott",664068
"Osuna, José",591741
"Sánchez, Yolmer",570560
"Adames, Willy",642715
"Fletcher, David",664058
"Longoria, Evan",446334
"Barnes, Austin",605131
"Realmuto, J.T.",592663
"Pujols, Albert",405395
"Anderson, Brian",605119
"Gómez, Carlos",460576
"Harrison, Josh",543281
"Castro, Starlin",516770
"Davidson, Matt",571602
"Freese, David",501896
"Hoskins, Rhys",656555
"Gennett, Scooter",571697
"Kemp, Matt",461314
"Dietrich, Derek",518618
"Garcia, Leury",544725
"Cowart, Kaleb",592230
"Machado, Manny",592518
"Marte, Starling",516782
"Duffy, Matt",622110
"McCutchen, Andrew",457705
"Taillon, Jameson",592791
"Descalso, Daniel",518614
"Turner, Trea",607208
"Smith, Mallex",605480
"Wieters, Matt",446308
"Souza Jr., Steven",519306
"Riddle, JT",595375
"Dixon, Brandon",641525
"Taylor, Michael A.",572191
"Pollock, AJ",572041
"Blackmon, Charlie",453568
"Kepler, Max",596146
"Andrus, Elvis",462101
"Zobrist, Ben",450314
"Soto, Juan",665742
"Gray, Jon",592351
"Higashioka, Kyle",543309
"Odor, Rougned",596059
"Shaw, Travis",543768
"Cron, C.J.",543068
"Murphy, Tom",608596
"Jay, Jon",445055
"Zimmerman, Ryan",475582
"Strange-Gordon, Dee",543829
"Margot, Manuel",622534
"Marte, Ketel",606466
"Walker, Neil",435522
"Prado, Martín",445988
"Polanco, Jorge",593871
"McMahon, Ryan",641857
"Godley, Zack",643327
"Reddick, Josh",502210
"Moustakas, Mike",519058
"Rendon, Anthony",543685
"Profar, Jurickson",595777
"Tucker, Kyle",663656
"Russell, Addison",608365
"Rosario, Eddie",592696
"Duda, Lucas",446263
"Harper, Bryce",547180
"Alonso, Yonder",475174
"d'Arnaud, Chase",488818
"Ahmed, Nick",605113
"O'Hearn, Ryan",656811
"Kemp, Tony",643393
"Tocci, Carlos",624636
"Parra, Gerardo",467827
"Ellis, A.J.",454560
"Rickard, Joey",572073
"Cain, Lorenzo",456715
"Crawford, Brandon",543063
"Beltré, Adrián",134181
"Santana, Carlos",467793
"Posey, Buster",457763
"Munoz, Yairo",622168
"Markakis, Nick",455976
"DeShields, Delino",592261
"Gonzalez, Marwin",503556
"Quinn, Roman",596451
"Freeman, Freddie",518692
"Ozuna, Marcell",542303
"Hernández, Gorkys",491676
"Duggar, Steven",621453
"Hosmer, Eric",543333
"Chirinos, Robinson",455139
"Escobar, Eduardo",500871
"Acuña Jr., Ronald",660670
"Carpenter, Matt",572761
"Swanson, Dansby",621020
"Bregman, Alex",608324
"Springer, George",543807
"Ray, Robbie",592662
"Galvis, Freddy",520471
"Bader, Harrison",664056
"Gyorko, Jedd",576397
"Flowers, Tyler",452095
"Pirela, José",517369
"Villanueva, Christian",570799
"Davis, J.D.",605204
"Choo, Shin-Soo",425783
"DeJong, Paul",657557
"Pérez, Martín",527048
"Piscotty, Stephen",572039
"Holland, Derek",502706
"Gallo, Joey",608336
"Olson, Matt",621566
"Teheran, Julio",527054
"Forsythe, Logan",523253
"Chapman, Matt",656305
"Barreto, Franklin",620439
"Puig, Yasiel",624577
"Stassi, Max",545358
"Lucroy, Jonathan",518960
"Tomlinson, Kelby",605509
"White, Tyler",643603
"Núñez, Eduardo",456488
"Renfroe, Hunter",592669
"Grandal, Yasmani",518735
"Gattis, Evan",594828
"Davis, Khris",501981
"Myers, Wil",571976
"Owings, Chris",572008
"Albies, Ozzie",645277
"Molina, Yadier",425877
"Herrera, Odúbel",546318
"Bogaerts, Xander",593428
"Maile, Luke",571912
"Cabrera, Melky",466320
"Murphy, John Ryan",571974
"Goldschmidt, Paul",502671
"Mauer, Joe",408045
"Maybin, Cameron",457727
"Lowrie, Jed",476704
"Pearce, Steve",456665
"Gurriel Jr., Lourdes",666971
"Grichuk, Randal",545341
"Pederson, Joc",592626
"Solarte, Yangervis",500208
"Drury, Brandon",592273
"Morales, Kendrys",434778
"Hernández, Teoscar",606192
"Kinsler, Ian",435079
"Herrera, Rosell",594011
"Smoak, Justin",475253
"Escobar, Alcides",444876
"Braun, Ryan",460075
"Dozier, Hunter",641531
"Peralta, David",444482
"Smith Jr., Dwight",596105
"Buchholz, Clay",453329
"Gurriel, Yuli",493329
"Merrifield, Whit",593160
"Arcia, Orlando",606115
"Mondesi, Adalberto",609275
"Piña, Manny",444489
"Butera, Drew",460077
"Pérez, Hernán",541650
"Phillips, Brett",621433
"Maldonado, Martín",455117
"Simmons, Andrelton",592743
"Betts, Mookie",605141
"Yelich, Christian",592885
"Gordon, Alex",460086
"Segura, Jean",516416
"León, Sandy",506702
"Encarnación, Edwin",429665
"Nimmo, Brandon",607043
"Upton, Justin",457708
"Contreras, Willson",575929
"Díaz, Aledmys",649557
"Holt, Brock",571788
"Bird, Greg",595885
"Rosario, Amed",642708
"Zunino, Mike",572287
"Báez, Javier",595879
"Bote, David",623520
"Swihart, Blake",596119
"Reynolds, Mark",448602
"Sierra, Magneuris",642423
